Part Name,Part Number,Quantity,Min Stock,Shelf,Bin,Monthly Usage
Spindle Bearing 7210,PN-BRG-7210,12,4,A1,B3,2
Hydraulic Seal Kit,PN-HSK-400,8,3,A2,B1,1
Conveyor Belt 24in,PN-CB-2400,3,2,C1,B2,1
Air Filter Element,PN-AF-37G,15,6,B1,B4,3
Welding Wire 0.035,PN-WW-035,24,10,D1,B1,5
Coolant Pump Motor,PN-CPM-220,2,1,A3,B2,0
Forklift Hydraulic Hose,PN-FHH-48,6,2,C2,B3,1
Paint Spray Nozzle,PN-PSN-15,10,4,B2,B1,2
Band Saw Blade 1in,PN-BSB-100,5,3,D2,B4,2
Chiller Compressor Oil,PN-CCO-5G,4,2,B3,B2,1
V-Belt A68,PN-VBA-68,7,3,A1,B1,1
Pneumatic Cylinder Seal,PN-PCS-40,9,4,A2,B3,2
